,x,EventName,,,,EventList,,Element,Element2
126,Erosion/Cstl Flood,,,,,,,,
127,EXCESSIVE,,,,,,,,
128,Excessive Cold,,,,,,,,
129,EXCESSIVE HEAT,,,,,,,,
130,EXCESSIVE HEAT/DROUGHT,,,,,,,,
131,EXCESSIVE PRECIPITATION,,,,,,,,
132,EXCESSIVE RAIN,,,,,,,,
133,EXCESSIVE RAINFALL,,,,,,,,
134,EXCESSIVE SNOW,,,,,,,,
135,EXCESSIVE WETNESS,,,,,,,,
136,EXCESSIVELY DRY,,,,,,,,
137,Extended Cold,,,,,,,,
138,Extreme Cold,,,,,,,,
139,EXTREME COLD,,,,,,,,
140,EXTREME COLD/WIND CHILL,,,,,,,,
141,EXTREME HEAT,,,,,,,,
142,EXTREME WIND CHILL,,,,,,,,
143,EXTREME WIND CHILL/BLOWING SNO,,,,,,,,
144,EXTREME WIND CHILLS,,,,,,,,
145,EXTREME WINDCHILL,,,,,,,,
146,EXTREME WINDCHILL TEMPERATURES,,,,,,,,
147,EXTREME/RECORD COLD,,,,,,,,
148,EXTREMELY WET,,,,,,,,
149,FALLING SNOW/ICE,,,,,,,,
150,FIRST FROST,,,,,,,,
151,FIRST SNOW,,,,,,,,
152,FLASH FLOOD,,,,,,,,
153,FLASH FLOOD - HEAVY RAIN,,,,,,,,
154,FLASH FLOOD FROM ICE JAMS,,,,,,,,
155,FLASH FLOOD LANDSLIDES,,,,,,,,
156,FLASH FLOOD WINDS,,,,,,,,
157,FLASH FLOOD/,,,,,,,,
158,FLASH FLOOD/ FLOOD,,,,,,,,
159,FLASH FLOOD/ STREET,,,,,,,,
160,FLASH FLOOD/FLOOD,,,,,,,,
161,FLASH FLOOD/HEAVY RAIN,,,,,,,,
162,FLASH FLOOD/LANDSLIDE,,,,,,,,
163,FLASH FLOODING,,,,,,,,
164,FLASH FLOODING/FLOOD,,,,,,,,
165,FLASH FLOODING/THUNDERSTORM WI,,,,,,,,
166,FLASH FLOODS,,,,,,,,
167,FLASH FLOOODING,,,,,,,,
168,Flood,,,,,,,,
169,FLOOD,,,,,,,,
170,FLOOD & HEAVY RAIN,,,,,,,,
171,FLOOD FLASH,,,,,,,,
172,FLOOD FLOOD/FLASH,,,,,,,,
173,FLOOD WATCH/,,,,,,,,
174,FLOOD/FLASH,,,,,,,,
175,Flood/Flash Flood,,,,,,,,
176,FLOOD/FLASH FLOOD,,,,,,,,
177,FLOOD/FLASH FLOODING,,,,,,,,
178,FLOOD/FLASH/FLOOD,,,,,,,,
179,FLOOD/FLASHFLOOD,,,,,,,,
180,FLOOD/RAIN/WIND,,,,,,,,
181,FLOOD/RAIN/WINDS,,,,,,,,
182,FLOOD/RIVER FLOOD,,,,,,,,
183,Flood/Strong Wind,,,,,,,,
184,FLOODING,,,,,,,,
185,FLOODING/HEAVY RAIN,,,,,,,,
186,FLOODS,,,,,,,,
187,FOG,,,,,,,,
188,FOG AND COLD TEMPERATURES,,,,,,,,
189,FOREST FIRES,,,,,,,,
190,Freeze,,,,,,,,
191,FREEZE,,,,,,,,
192,Freezing drizzle,,,,,,,,
193,Freezing Drizzle,,,,,,,,
194,FREEZING DRIZZLE,,,,,,,,
195,FREEZING DRIZZLE AND FREEZING,,,,,,,,
196,Freezing Fog,,,,,,,,
197,FREEZING FOG,,,,,,,,
198,Freezing rain,,,,,,,,
199,Freezing Rain,,,,,,,,
200,FREEZING RAIN,,,,,,,,
201,FREEZING RAIN AND SLEET,,,,,,,,
202,FREEZING RAIN AND SNOW,,,,,,,,
203,FREEZING RAIN SLEET AND,,,,,,,,
204,FREEZING RAIN SLEET AND LIGHT,,,,,,,,
205,FREEZING RAIN/SLEET,,,,,,,,
206,FREEZING RAIN/SNOW,,,,,,,,
207,Freezing Spray,,,,,,,,
208,Frost,,,,,,,,
209,FROST,,,,,,,,
210,Frost/Freeze,,,,,,,,
211,FROST/FREEZE,,,,,,,,
212,FROST\FREEZE,,,,,,,,
213,FUNNEL,,,,,,,,
214,Funnel Cloud,,,,,,,,
215,FUNNEL CLOUD,,,,,,,,
216,FUNNEL CLOUD.,,,,,,,,
217,FUNNEL CLOUD/HAIL,,,,,,,,
218,FUNNEL CLOUDS,,,,,,,,
219,FUNNELS,,,,,,,,
220,Glaze,,,,,,,,
221,GLAZE,,,,,,,,
222,GLAZE ICE,,,,,,,,
223,GLAZE/ICE STORM,,,,,,,,
224,gradient wind,,,,,,,,
225,Gradient wind,,,,,,,,
226,GRADIENT WIND,,,,,,,,
227,GRADIENT WINDS,,,,,,,,
228,GRASS FIRES,,,,,,,,
229,GROUND BLIZZARD,,,,,,,,
230,GUSTNADO,,,,,,,,
231,GUSTNADO AND,,,,,,,,
232,GUSTY LAKE WIND,,,,,,,,
233,GUSTY THUNDERSTORM WIND,,,,,,,,
234,GUSTY THUNDERSTORM WINDS,,,,,,,,
235,Gusty Wind,,,,,,,,
236,GUSTY WIND,,,,,,,,
237,GUSTY WIND/HAIL,,,,,,,,
238,GUSTY WIND/HVY RAIN,,,,,,,,
239,Gusty wind/rain,,,,,,,,
240,Gusty winds,,,,,,,,
241,Gusty Winds,,,,,,,,
242,GUSTY WINDS,,,,,,,,
243,HAIL,,,,,,,,
244,HAIL 0.75,,,,,,,,
245,HAIL 0.88,,,,,,,,
246,HAIL 075,,,,,,,,
247,HAIL 088,,,,,,,,
248,HAIL 1.00,,,,,,,,
249,HAIL 1.75,,,,,,,,
250,HAIL 1.75),,,,,,,,
251,HAIL 100,,,,,,,,
252,HAIL 125,,,,,,,,
253,HAIL 150,,,,,,,,
254,HAIL 175,,,,,,,,
255,HAIL 200,,,,,,,,
256,HAIL 225,,,,,,,,
257,HAIL 275,,,,,,,,
258,HAIL 450,,,,,,,,
259,HAIL 75,,,,,,,,
260,HAIL 80,,,,,,,,
261,HAIL 88,,,,,,,,
262,HAIL ALOFT,,,,,,,,
263,HAIL DAMAGE,,,,,,,,
264,HAIL FLOODING,,,,,,,,
265,HAIL STORM,,,,,,,,
266,Hail(0.75),,,,,,,,
267,HAIL/ICY ROADS,,,,,,,,
268,HAIL/WIND,,,,,,,,
269,HAIL/WINDS,,,,,,,,
270,HAILSTORM,,,,,,,,
271,HAILSTORMS,,,,,,,,
272,HARD FREEZE,,,,,,,,
273,HAZARDOUS SURF,,,,,,,,
274,HEAT,,,,,,,,
275,HEAT DROUGHT,,,,,,,,
276,Heat Wave,,,,,,,,
277,HEAT WAVE,,,,,,,,
278,HEAT WAVE DROUGHT,,,,,,,,
279,HEAT WAVES,,,,,,,,
280,HEAT/DROUGHT,,,,,,,,
281,Heatburst,,,,,,,,
282,HEAVY LAKE SNOW,,,,,,,,
283,HEAVY MIX,,,,,,,,
284,HEAVY PRECIPATATION,,,,,,,,
285,Heavy Precipitation,,,,,,,,
286,HEAVY PRECIPITATION,,,,,,,,
287,Heavy rain,,,,,,,,
288,Heavy Rain,,,,,,,,
289,HEAVY RAIN,,,,,,,,
290,HEAVY RAIN AND FLOOD,,,,,,,,
291,Heavy Rain and Wind,,,,,,,,
292,HEAVY RAIN EFFECTS,,,,,,,,
293,HEAVY RAIN/FLOODING,,,,,,,,
294,Heavy Rain/High Surf,,,,,,,,
295,HEAVY RAIN/LIGHTNING,,,,,,,,
296,HEAVY RAIN/MUDSLIDES/FLOOD,,,,,,,,
297,HEAVY RAIN/SEVERE WEATHER,,,,,,,,
298,HEAVY RAIN/SMALL STREAM URBAN,,,,,,,,
299,HEAVY RAIN/SNOW,,,,,,,,
300,HEAVY RAIN/URBAN FLOOD,,,,,,,,
301,HEAVY RAIN/WIND,,,,,,,,
302,HEAVY RAIN; URBAN FLOOD WINDS;,,,,,,,,
303,HEAVY RAINFALL,,,,,,,,
304,HEAVY RAINS,,,,,,,,
305,HEAVY RAINS/FLOODING,,,,,,,,
306,HEAVY SEAS,,,,,,,,
307,HEAVY SHOWER,,,,,,,,
308,HEAVY SHOWERS,,,,,,,,
309,HEAVY SNOW,,,,,,,,
310,HEAVY SNOW-SQUALLS,,,,,,,,
311,HEAVY SNOW   FREEZING RAIN,,,,,,,,
312,HEAVY SNOW & ICE,,,,,,,,
313,HEAVY SNOW AND,,,,,,,,
314,HEAVY SNOW AND HIGH WINDS,,,,,,,,
315,HEAVY SNOW AND ICE,,,,,,,,
316,HEAVY SNOW AND ICE STORM,,,,,,,,
317,HEAVY SNOW AND STRONG WINDS,,,,,,,,
318,HEAVY SNOW ANDBLOWING SNOW,,,,,,,,
319,Heavy snow shower,,,,,,,,
320,HEAVY SNOW SQUALLS,,,,,,,,
321,HEAVY SNOW/BLIZZARD,,,,,,,,
322,HEAVY SNOW/BLIZZARD/AVALANCHE,,,,,,,,
323,HEAVY SNOW/BLOWING SNOW,,,,,,,,
324,HEAVY SNOW/FREEZING RAIN,,,,,,,,
325,HEAVY SNOW/HIGH,,,,,,,,
326,HEAVY SNOW/HIGH WIND,,,,,,,,
327,HEAVY SNOW/HIGH WINDS,,,,,,,,
328,HEAVY SNOW/HIGH WINDS & FLOOD,,,,,,,,
329,HEAVY SNOW/HIGH WINDS/FREEZING,,,,,,,,
330,HEAVY SNOW/ICE,,,,,,,,
331,HEAVY SNOW/ICE STORM,,,,,,,,
332,HEAVY SNOW/SLEET,,,,,,,,
333,HEAVY SNOW/SQUALLS,,,,,,,,
334,HEAVY SNOW/WIND,,,,,,,,
335,HEAVY SNOW/WINTER STORM,,,,,,,,
336,HEAVY SNOWPACK,,,,,,,,
337,Heavy Surf,,,,,,,,
338,HEAVY SURF,,,,,,,,
339,Heavy surf and wind,,,,,,,,
340,HEAVY SURF COASTAL FLOODING,,,,,,,,
341,HEAVY SURF/HIGH SURF,,,,,,,,
342,HEAVY SWELLS,,,,,,,,
343,HEAVY WET SNOW,,,,,,,,
344,HIGH,,,,,,,,
345,HIGH  SWELLS,,,,,,,,
346,HIGH  WINDS,,,,,,,,
347,HIGH SEAS,,,,,,,,
348,High Surf,,,,,,,,
349,HIGH SURF,,,,,,,,
350,HIGH SURF ADVISORIES,,,,,,,,
351,HIGH SURF ADVISORY,,,,,,,,
352,HIGH SWELLS,,,,,,,,
353,HIGH TEMPERATURE RECORD,,,,,,,,
354,HIGH TIDES,,,,,,,,
355,HIGH WATER,,,,,,,,
356,HIGH WAVES,,,,,,,,
357,High Wind,,,,,,,,
358,HIGH WIND,,,,,,,,
359,HIGH WIND (G40),,,,,,,,
360,HIGH WIND 48,,,,,,,,
361,HIGH WIND 63,,,,,,,,
362,HIGH WIND 70,,,,,,,,
363,HIGH WIND AND HEAVY SNOW,,,,,,,,
364,HIGH WIND AND HIGH TIDES,,,,,,,,
365,HIGH WIND AND SEAS,,,,,,,,
366,HIGH WIND DAMAGE,,,,,,,,
367,HIGH WIND/ BLIZZARD,,,,,,,,
368,HIGH WIND/BLIZZARD,,,,,,,,
369,HIGH WIND/BLIZZARD/FREEZING RA,,,,,,,,
370,HIGH WIND/HEAVY SNOW,,,,,,,,
371,HIGH WIND/LOW WIND CHILL,,,,,,,,
372,HIGH WIND/SEAS,,,,,,,,
373,HIGH WIND/WIND CHILL,,,,,,,,
374,HIGH WIND/WIND CHILL/BLIZZARD,,,,,,,,
375,HIGH WINDS,,,,,,,,
376,HIGH WINDS 55,,,,,,,,
377,HIGH WINDS 57,,,,,,,,
378,HIGH WINDS 58,,,,,,,,
379,HIGH WINDS 63,,,,,,,,
380,HIGH WINDS 66,,,,,,,,
381,HIGH WINDS 67,,,,,,,,
382,HIGH WINDS 73,,,,,,,,
383,HIGH WINDS 76,,,,,,,,
384,HIGH WINDS 80,,,,,,,,
385,HIGH WINDS 82,,,,,,,,
386,HIGH WINDS AND WIND CHILL,,,,,,,,
387,HIGH WINDS DUST STORM,,,,,,,,
388,HIGH WINDS HEAVY RAINS,,,,,,,,
389,HIGH WINDS/,,,,,,,,
390,HIGH WINDS/COASTAL FLOOD,,,,,,,,
391,HIGH WINDS/COLD,,,,,,,,
392,HIGH WINDS/FLOODING,,,,,,,,
393,HIGH WINDS/HEAVY RAIN,,,,,,,,
394,HIGH WINDS/SNOW,,,,,,,,
395,HIGHWAY FLOODING,,,,,,,,
396,Hot and Dry,,,,,,,,
397,HOT PATTERN,,,,,,,,
398,HOT SPELL,,,,,,,,
399,HOT WEATHER,,,,,,,,
400,HOT/DRY PATTERN,,,,,,,,
401,HURRICANE,,,,,,,,
402,HURRICANE-GENERATED SWELLS,,,,,,,,
403,Hurricane Edouard,,,,,,,,
404,HURRICANE EMILY,,,,,,,,
405,HURRICANE ERIN,,,,,,,,
406,HURRICANE FELIX,,,,,,,,
407,HURRICANE GORDON,,,,,,,,
408,HURRICANE OPAL,,,,,,,,
409,HURRICANE OPAL/HIGH WINDS,,,,,,,,
410,HURRICANE/TYPHOON,,,,,,,,
411,HVY RAIN,,,,,,,,
412,HYPERTHERMIA/EXPOSURE,,,,,,,,
413,HYPOTHERMIA,,,,,,,,
414,Hypothermia/Exposure,,,,,,,,
415,HYPOTHERMIA/EXPOSURE,,,,,,,,
416,ICE,,,,,,,,
417,ICE AND SNOW,,,,,,,,
418,ICE FLOES,,,,,,,,
419,Ice Fog,,,,,,,,
420,ICE JAM,,,,,,,,
421,Ice jam flood (minor,,,,,,,,
422,ICE JAM FLOODING,,,,,,,,
423,ICE ON ROAD,,,,,,,,
424,ICE PELLETS,,,,,,,,
425,ICE ROADS,,,,,,,,
426,ICE STORM,,,,,,,,
427,ICE STORM AND SNOW,,,,,,,,
428,ICE STORM/FLASH FLOOD,,,,,,,,
429,Ice/Snow,,,,,,,,
430,ICE/SNOW,,,,,,,,
431,ICE/STRONG WINDS,,,,,,,,
432,Icestorm/Blizzard,,,,,,,,
433,Icy Roads,,,,,,,,
434,ICY ROADS,,,,,,,,
435,LACK OF SNOW,,,,,,,,
436,LAKE-EFFECT SNOW,,,,,,,,
437,Lake Effect Snow,,,,,,,,
438,LAKE EFFECT SNOW,,,,,,,,
439,LAKE FLOOD,,,,,,,,
440,LAKESHORE FLOOD,,,,,,,,
441,LANDSLIDE,,,,,,,,
442,LANDSLIDE/URBAN FLOOD,,,,,,,,
443,LANDSLIDES,,,,,,,,
444,Landslump,,,,,,,,
445,LANDSLUMP,,,,,,,,
446,LANDSPOUT,,,,,,,,
447,LARGE WALL CLOUD,,,,,,,,
448,Late-season Snowfall,,,,,,,,
449,LATE FREEZE,,,,,,,,
450,LATE SEASON HAIL,,,,,,,,
451,LATE SEASON SNOW,,,,,,,,
452,Late Season Snowfall,,,,,,,,
453,LATE SNOW,,,,,,,,
454,LIGHT FREEZING RAIN,,,,,,,,
455,Light snow,,,,,,,,
456,Light Snow,,,,,,,,
457,LIGHT SNOW,,,,,,,,
458,LIGHT SNOW AND SLEET,,,,,,,,
459,Light Snow/Flurries,,,,,,,,
460,LIGHT SNOW/FREEZING PRECIP,,,,,,,,
461,Light Snowfall,,,,,,,,
462,LIGHTING,,,,,,,,
463,LIGHTNING,,,,,,,,
464,LIGHTNING  WAUSEON,,,,,,,,
465,LIGHTNING AND HEAVY RAIN,,,,,,,,
466,LIGHTNING AND THUNDERSTORM WIN,,,,,,,,
467,LIGHTNING AND WINDS,,,,,,,,
468,LIGHTNING DAMAGE,,,,,,,,
469,LIGHTNING FIRE,,,,,,,,
470,LIGHTNING INJURY,,,,,,,,
471,LIGHTNING THUNDERSTORM WINDS,,,,,,,,
472,LIGHTNING THUNDERSTORM WINDSS,,,,,,,,
473,LIGHTNING.,,,,,,,,
474,LIGHTNING/HEAVY RAIN,,,,,,,,
475,LIGNTNING,,,,,,,,
476,LOCAL FLASH FLOOD,,,,,,,,
477,LOCAL FLOOD,,,,,,,,
478,LOCALLY HEAVY RAIN,,,,,,,,
479,LOW TEMPERATURE,,,,,,,,
480,LOW TEMPERATURE RECORD,,,,,,,,
481,LOW WIND CHILL,,,,,,,,
482,MAJOR FLOOD,,,,,,,,
483,Marine Accident,,,,,,,,
484,MARINE HAIL,,,,,,,,
485,MARINE HIGH WIND,,,,,,,,
486,MARINE MISHAP,,,,,,,,
487,MARINE STRONG WIND,,,,,,,,
488,MARINE THUNDERSTORM WIND,,,,,,,,
489,MARINE TSTM WIND,,,,,,,,
490,"Metro Storm, May 26",,,,,,,,
491,Microburst,,,,,,,,
492,MICROBURST,,,,,,,,
493,MICROBURST WINDS,,,,,,,,
494,Mild and Dry Pattern,,,,,,,,
495,MILD PATTERN,,,,,,,,
496,MILD/DRY PATTERN,,,,,,,,
497,MINOR FLOOD,,,,,,,,
498,Minor Flooding,,,,,,,,
499,MINOR FLOODING,,,,,,,,
500,MIXED PRECIP,,,,,,,,
501,Mixed Precipitation,,,,,,,,
502,MIXED PRECIPITATION,,,,,,,,
503,MODERATE SNOW,,,,,,,,
504,MODERATE SNOWFALL,,,,,,,,
505,MONTHLY PRECIPITATION,,,,,,,,
506,Monthly Rainfall,,,,,,,,
507,MONTHLY RAINFALL,,,,,,,,
508,Monthly Snowfall,,,,,,,,
509,MONTHLY SNOWFALL,,,,,,,,
510,MONTHLY TEMPERATURE,,,,,,,,
511,Mountain Snows,,,,,,,,
512,MUD SLIDE,,,,,,,,
513,MUD SLIDES,,,,,,,,
514,MUD SLIDES URBAN FLOODING,,,,,,,,
515,MUD/ROCK SLIDE,,,,,,,,
516,Mudslide,,,,,,,,
517,MUDSLIDE,,,,,,,,
518,MUDSLIDE/LANDSLIDE,,,,,,,,
519,Mudslides,,,,,,,,
520,MUDSLIDES,,,,,,,,
521,NEAR RECORD SNOW,,,,,,,,
522,No Severe Weather,,,,,,,,
523,NON-SEVERE WIND DAMAGE,,,,,,,,
524,NON-TSTM WIND,,,,,,,,
525,NON SEVERE HAIL,,,,,,,,
526,NON TSTM WIND,,,,,,,,
527,NONE,,,,,,,,
528,NORMAL PRECIPITATION,,,,,,,,
529,NORTHERN LIGHTS,,,,,,,,
530,Other,,,,,,,,
531,OTHER,,,,,,,,
532,PATCHY DENSE FOG,,,,,,,,
533,PATCHY ICE,,,,,,,,
534,Prolong Cold,,,,,,,,
535,PROLONG COLD,,,,,,,,
536,PROLONG COLD/SNOW,,,,,,,,
537,PROLONG WARMTH,,,,,,,,
538,PROLONGED RAIN,,,,,,,,
539,RAIN,,,,,,,,
540,RAIN (HEAVY),,,,,,,,
541,RAIN AND WIND,,,,,,,,
542,Rain Damage,,,,,,,,
543,RAIN/SNOW,,,,,,,,
544,RAIN/WIND,,,,,,,,
545,RAINSTORM,,,,,,,,
546,RAPIDLY RISING WATER,,,,,,,,
547,RECORD  COLD,,,,,,,,
548,Record Cold,,,,,,,,
549,RECORD COLD,,,,,,,,
550,RECORD COLD AND HIGH WIND,,,,,,,,
551,RECORD COLD/FROST,,,,,,,,
552,RECORD COOL,,,,,,,,
553,Record dry month,,,,,,,,
554,RECORD DRYNESS,,,,,,,,
555,Record Heat,,,,,,,,
556,RECORD HEAT,,,,,,,,
557,RECORD HEAT WAVE,,,,,,,,
558,Record High,,,,,,,,
559,RECORD HIGH,,,,,,,,
560,RECORD HIGH TEMPERATURE,,,,,,,,
561,RECORD HIGH TEMPERATURES,,,,,,,,
562,RECORD LOW,,,,,,,,
563,RECORD LOW RAINFALL,,,,,,,,
564,Record May Snow,,,,,,,,
565,RECORD PRECIPITATION,,,,,,,,
566,RECORD RAINFALL,,,,,,,,
567,RECORD SNOW,,,,,,,,
568,RECORD SNOW/COLD,,,,,,,,
569,RECORD SNOWFALL,,,,,,,,
570,Record temperature,,,,,,,,
571,RECORD TEMPERATURE,,,,,,,,
572,Record Temperatures,,,,,,,,
573,RECORD TEMPERATURES,,,,,,,,
574,RECORD WARM,,,,,,,,
575,RECORD WARM TEMPS.,,,,,,,,
576,Record Warmth,,,,,,,,
577,RECORD WARMTH,,,,,,,,
578,Record Winter Snow,,,,,,,,
579,RECORD/EXCESSIVE HEAT,,,,,,,,
580,RECORD/EXCESSIVE RAINFALL,,,,,,,,
581,RED FLAG CRITERIA,,,,,,,,
582,RED FLAG FIRE WX,,,,,,,,
583,REMNANTS OF FLOYD,,,,,,,,
584,RIP CURRENT,,,,,,,,
585,RIP CURRENTS,,,,,,,,
586,RIP CURRENTS HEAVY SURF,,,,,,,,
587,RIP CURRENTS/HEAVY SURF,,,,,,,,
588,RIVER AND STREAM FLOOD,,,,,,,,
589,RIVER FLOOD,,,,,,,,
590,River Flooding,,,,,,,,
591,RIVER FLOODING,,,,,,,,
592,ROCK SLIDE,,,,,,,,
593,ROGUE WAVE,,,,,,,,
594,ROTATING WALL CLOUD,,,,,,,,
595,ROUGH SEAS,,,,,,,,
596,ROUGH SURF,,,,,,,,
597,RURAL FLOOD,,,,,,,,
598,Saharan Dust,,,,,,,,
599,SAHARAN DUST,,,,,,,,
600,Seasonal Snowfall,,,,,,,,
601,SEICHE,,,,,,,,
602,SEVERE COLD,,,,,,,,
603,SEVERE THUNDERSTORM,,,,,,,,
604,SEVERE THUNDERSTORM WINDS,,,,,,,,
605,SEVERE THUNDERSTORMS,,,,,,,,
606,SEVERE TURBULENCE,,,,,,,,
607,SLEET,,,,,,,,
608,SLEET & FREEZING RAIN,,,,,,,,
609,SLEET STORM,,,,,,,,
610,SLEET/FREEZING RAIN,,,,,,,,
611,SLEET/ICE STORM,,,,,,,,
612,SLEET/RAIN/SNOW,,,,,,,,
613,SLEET/SNOW,,,,,,,,
614,small hail,,,,,,,,
615,Small Hail,,,,,,,,
616,SMALL HAIL,,,,,,,,
617,SMALL STREAM,,,,,,,,
